file,line,type,commit,author,date,time,timezone,datetime,depth,length
src\routes\resume\+page.svelte,11,svelte,ce78bfa4,enrique,2024-02-26,22:00:00,-05:00,2024-02-26T22:00:00-05:00,3,16
src\routes\resume\+page.svelte,12,svelte,ce78bfa4,enrique,2024-02-26,22:00:00,-05:00,2024-02-26T22:00:00-05:00,3,4
src\routes\resume\+page.svelte,13,svelte,ce78bfa4,enrique,2024-02-26,22:00:00,-05:00,2024-02-26T22:00:00-05:00,4,18
src\routes\resume\+page.svelte,14,svelte,ce78bfa4,enrique,2024-02-26,22:00:00,-05:00,2024-02-26T22:00:00-05:00,4,17
src\routes\resume\+page.svelte,15,svelte,ce78bfa4,enrique,2024-02-26,22:00:00,-05:00,2024-02-26T22:00:00-05:00,3,5
src\routes\resume\+page.svelte,16,svelte,ce78bfa4,enrique,2024-02-26,22:00:00,-05:00,2024-02-26T22:00:00-05:00,3,1
src\routes\resume\+page.svelte,17,svelte,ce78bfa4,enrique,2024-02-26,22:00:00,-05:00,2024-02-26T22:00:00-05:00,4,64
src\routes\resume\+page.svelte,18,svelte,ce78bfa4,enrique,2024-02-26,22:00:00,-05:00,2024-02-26T22:00:00-05:00,4,65
src\routes\resume\+page.svelte,19,svelte,ce78bfa4,enrique,2024-02-26,22:00:00,-05:00,2024-02-26T22:00:00-05:00,4,66
src\routes\resume\+page.svelte,20,svelte,ce78bfa4,enrique,2024-02-26,22:00:00,-05:00,2024-02-26T22:00:00-05:00,4,37
src\routes\resume\+page.svelte,21,svelte,ce78bfa4,enrique,2024-02-26,22:00:00,-05:00,2024-02-26T22:00:00-05:00,3,2
src\routes\resume\+page.svelte,22,svelte,ce78bfa4,enrique,2024-02-26,22:00:00,-05:00,2024-02-26T22:00:00-05:00,2,8
src\routes\resume\+page.svelte,23,svelte,ce78bfa4,enrique,2024-02-26,22:00:00,-05:00,2024-02-26T22:00:00-05:00,2,7
src\routes\resume\+page.svelte,24,svelte,ce78bfa4,enrique,2024-02-26,22:00:00,-05:00,2024-02-26T22:00:00-05:00,3,22
src\routes\resume\+page.svelte,25,svelte,ce78bfa4,enrique,2024-02-26,22:00:00,-05:00,2024-02-26T22:00:00-05:00,3,4
src\routes\resume\+page.svelte,26,svelte,ce78bfa4,enrique,2024-02-26,22:00:00,-05:00,2024-02-26T22:00:00-05:00,4,16
src\routes\resume\+page.svelte,27,svelte,ce78bfa4,enrique,2024-02-26,22:00:00,-05:00,2024-02-26T22:00:00-05:00,4,17
src\routes\resume\+page.svelte,28,svelte,ce78bfa4,enrique,2024-02-26,22:00:00,-05:00,2024-02-26T22:00:00-05:00,3,5
src\routes\resume\+page.svelte,29,svelte,ce78bfa4,enrique,2024-02-26,22:00:00,-05:00,2024-02-26T22:00:00-05:00,3,1
src\routes\resume\+page.svelte,30,svelte,ce78bfa4,enrique,2024-02-26,22:00:00,-05:00,2024-02-26T22:00:00-05:00,4,64
src\routes\resume\+page.svelte,31,svelte,ce78bfa4,enrique,2024-02-26,22:00:00,-05:00,2024-02-26T22:00:00-05:00,4,65
src\routes\resume\+page.svelte,32,svelte,ce78bfa4,enrique,2024-02-26,22:00:00,-05:00,2024-02-26T22:00:00-05:00,4,66
src\routes\resume\+page.svelte,33,svelte,ce78bfa4,enrique,2024-02-26,22:00:00,-05:00,2024-02-26T22:00:00-05:00,4,37
src\routes\resume\+page.svelte,34,svelte,ce78bfa4,enrique,2024-02-26,22:00:00,-05:00,2024-02-26T22:00:00-05:00,3,2
src\routes\resume\+page.svelte,35,svelte,ce78bfa4,enrique,2024-02-26,22:00:00,-05:00,2024-02-26T22:00:00-05:00,2,8
src\routes\resume\+page.svelte,36,svelte,ce78bfa4,enrique,2024-02-26,22:00:00,-05:00,2024-02-26T22:00:00-05:00,1,4
src\routes\resume\+page.svelte,37,svelte,ce78bfa4,enrique,2024-02-26,22:00:00,-05:00,2024-02-26T22:00:00-05:00,0,4
src\routes\resume\+page.svelte,38,svelte,d15631e2,enrique,2024-03-07,15:08:09,-05:00,2024-03-07T15:08:09-05:00,0,0
src\routes\resume\+page.svelte,39,svelte,d15631e2,enrique,2024-03-07,15:08:09,-05:00,2024-03-07T15:08:09-05:00,0,5
src\routes\resume\+page.svelte,40,css,d15631e2,enrique,2024-03-07,15:08:09,-05:00,2024-03-07T15:08:09-05:00,1,7
src\routes\resume\+page.svelte,41,css,d15631e2,enrique,2024-03-07,15:08:09,-05:00,2024-03-07T15:08:09-05:00,2,6
src\routes\resume\+page.svelte,42,css,d15631e2,enrique,2024-03-07,15:08:09,-05:00,2024-03-07T15:08:09-05:00,3,12
src\routes\resume\+page.svelte,43,css,d15631e2,enrique,2024-03-07,15:08:09,-05:00,2024-03-07T15:08:09-05:00,3,29
